UID;Frage;Antwort;Subject;Zusatzangaben;Tausch;Phase;Eingabedatum;DueDate
547;ersetzen  + 0 -;replace  supersede, replace, substitute;Business English 2;;;3;11.03.15;16.01.18
548;Erstauftrag;initial order;Business English 2;;;3;11.03.15;30.12.15
549;Erstbestellung;initial order;Business English 1;;swapped;4;04.11.13;26.01.14
550;erster  zweiter  dritter  vierter  fünfter;primer/a  segundo  tercer/a  cuarto  quinto;ECOS Español;;;6;04.02.18;
551;Erst sah er sie, dann sprach er sie an und schließlich gingen sie in eine Bar.;Primero la vio, después le habló y al final se fueron a un bar.;Español Gramática;;;5;10.02.18;24.02.19
552;Er träumt von dir.;Sueña contigo.;ECOS Español;;swapped;2;04.02.18;07.11.18
553;Es ärgert mich, dass Philipp mich nicht anruft.;Me fastidia que Philipp no me llame.;Español Gramática;;swapped;3;18.02.18;13.03.18
554;escojer;auswählen;El arte de empezar;;swapped;6;21.05.17;
555;E-Scooter;el patinete eléctrico;ECOS Español;;;1;04.11.18;04.11.18
556;Es freut mich, dass Lara vorbeikommt.;Me alegre de que Lara pase por aquí.;Español Gramática;;swapped;3;18.02.18;13.03.18
557;Es ist besser, du tust es selber.;Es mejor que tu lo hagas tú mismo.;Español Gramática;;;3;18.02.18;13.03.18
558;Es ist möglich, dass uns ein Fehler in der Kalkulation unterlaufen ist.;Es posible que hayamos cometido algún error en el cálculo.;Español Gramática;;swapped;1;04.03.18;26.11.18
559;Es ist nicht sicher, ob Milenko kommt.;No es seguro que Milenko venga.;Español Gramática;;;4;18.02.18;13.11.18
560;Es ist selbstverständlich;it goes without saying that;Business English 2;;;2;11.03.15;10.06.15
561;es ist uns völlig unverständlich, dass;we are at a loss to understand;Business English 2;;;1;11.03.15;19.03.15
562;Es könnte hilfreich sein, die Fakten zusammenzufassen.;Podría ser útil de resumir los hechos.;Español Gramática;;;2;06.03.18;29.11.18
563;Es mejor que tu lo hagas tú mismo.;Es ist besser, du tust es selber.;Español Gramática;;swapped;3;18.02.18;13.03.18
564;Espero que encuentres otro novio.;Ich hoffe Du findest einen anderen Freund.;Español Gramática;;;3;18.02.18;13.03.18
565;Es posible que Anselm tenga tiempo para mi en la tarde?;Ist es möglich, dass Anselm heute nachmittag Zeit für mich hat.;Español Gramática;;;4;18.02.18;26.12.18
566;Es posible que hayamos cometido algún error en el cálculo.;Es ist möglich, dass uns ein Fehler in der Kalkulation unterlaufen ist.;Español Gramática;;;3;04.03.18;20.03.18
567;Es scheint mir nötig, dass du lernst.;Me parece necesario que estudies.;Español Gramática;;;3;18.02.18;13.03.18
568;establishment;Einrichtung / Eröffnung;Business English 1;;;4;04.11.13;27.01.14
569;Está en un curso conmigo;Sie ist in einem Kurs mit mir;Malaga 2018;;swapped;5;29.03.18;12.01.19
570;estar descartado/a;ausgeschlossen sein;ECOS Español;;;1;04.11.18;04.11.18
571;estar dispuesto a     Estoy dispuesto a vivir y trabajar en España.;zu etwas bereit sein;El arte de empezar;;;6;21.05.17;
572;está rebajado;reduziert sein;Malaga 2018;;;5;29.03.18;12.01.19
573;estar en contra de algo     estar a favor de;gegen etwas sein     für etwas sein;Malaga 2018;;;5;29.03.18;12.01.19
574;estar en posesión de todas sus facultades intelectuales;in Besitz seiner geistigen Fähigkeiten sein;ECOS Español;;;6;06.01.18;
575;estar harto de que     Estoy harto de que siempre compres cosas que no necesitas.;etwas satt haben     Ich habe es satt, dass du immer Sachen kaufst, die du nicht brauchst.;Malaga 2018;;;5;29.03.18;12.01.19
576;Está todo el día en la playa.;Er ist den ganzen Tag am Strand.;Español Gramática;;swapped;4;10.02.18;30.03.18
577;estoy lleno / satisfecho;satt sein;Malaga 2018;;;5;29.03.18;12.01.19
578;Estoy seguro de que el lector disfrutará mucho de este libro.;Ich bin sicher, dass der Leser dieses Buch sehr genießen wird.;Malaga 2018;;;5;18.08.18;23.02.19
579;Estudiaremos las ventajas de este nuevo método de investigación.;Untersuchen wir die Vorteile dieser neuen Forschungsmethode.;Español Gramática;;;2;04.03.18;08.03.18
580;Es überrascht mich, dass du Alkohol trinkst.;Me sorprende que bebas alcohol.;Español Gramática;;swapped;3;18.02.18;13.03.18
581;Es wäre hilfreich, die Fakten zusammen zu fassen;it might be helpful to summarize the facts;Business English 2;;;2;11.03.15;09.03.18
582;Es wundert mich, dass er es nicht weiß.;Me extraña que no lo sepa.;Español Gramática;;swapped;3;18.02.18;13.03.18
583;Etikett;label;Business English 2;;;2;11.03.15;10.06.15
584;etw. durchführen;to carry through;Business English 1;;swapped;1;04.11.13;06.01.18
585;etw. machen lassen;to have sth. done;Business English 1;;swapped;5;04.11.13;06.04.18
586;etw. nachvollziehen, beobachten;keep track of;Business English 1;;swapped;4;04.11.13;27.01.14
587;etw. prüfen;to check;Business English 1;;swapped;5;04.11.13;06.04.18
588;etwas bewältigen;afrontar algo;El arte de empezar;;swapped;6;21.05.17;
589;etwas satt haben     Ich habe es satt, dass du immer Sachen kaufst, die du nicht brauchst.;estar harto de que     Estoy harto de que siempre compres cosas que no necesitas.;Malaga 2018;;swapped;5;29.03.18;23.02.19
590;etwas überdenken;to reflect on;Business English 2;;swapped;1;11.03.15;11.03.15
591;etwas vorantreiben;llevar adelente algo;ECOS Español;;swapped;1;04.11.18;04.11.18
592;etwas was den Schmerz wert ist;algo que merece la pena;El arte de empezar;;swapped;6;21.05.17;
593;etwas zertrümmern;aplastar a algo     Apple quería aplastar a Microsoft.;El arte de empezar;;swapped;6;21.05.17;
594;evitar / esquivar     es casi imposible esquivar el gran tema, en un clima apocalíptico, donde lo más inquietante (beängstigend) es el temor (Angst) al futuro.;vermeiden / umgehen;ECOS Español;;;6;06.01.18;
595;execution  to execute;Erledigung;Business English 1;;swapped;4;04.11.13;26.01.14
596;exhibit;ausstellen;Business English 1;;swapped;4;01.12.13;13.02.14
597;expenses;Ausgaben;Business English 2;;swapped;4;11.03.15;05.02.18
598;explicar de forma sencilla lo que es complicado;einfach erklären was kompliziert ist;Malaga 2018;;;5;18.08.18;02.03.19
599;Explique la regla.;Erklären Sie die Regel.;Español Gramática;;;4;18.02.18;26.12.18
600;expost costs;Kosten nach Vertragsabschluss;Business English 1;;swapped;5;01.12.13;06.04.18
601;extension of time;Fristenverlängerung;Business English 1;;swapped;3;12.01.14;28.01.14
602;ex-works price;Preis ab Werk;Business English 1;;;3;12.01.14;28.01.14
603;fair / show;Messe;Business English 1;;swapped;4;01.12.13;15.02.14
604;favourable;günstig;Business English 1;;;4;04.11.13;15.02.14
605;feilschen;to bargain;Business English 1;;swapped;3;12.01.14;16.01.18
606;fernbleiben;ausentar     Los empleados se podrán ausentar de sus puestos de trabajo durante un periodo de hasta tres meses.;El arte de empezar;;swapped;2;20.01.18;05.12.18
607;feste Zusage;firm promise;Business English 1;;;1;12.01.14;20.12.15
608;finance people;Finanzmitarbeiter (people -> Mitarbeiter);Business English 1;;;5;04.11.13;06.04.18
609;financial, pecuniary damage;Vermögensschäden;Business English 2;;swapped;3;11.03.15;16.01.18
610;Finanzmitarbeiter (people -> Mitarbeiter);finance people;Business English 1;;swapped;4;04.11.13;28.01.14
611;firm promise;feste Zusage;Business English 1;;swapped;1;12.01.14;20.12.15
612;First things first.;Eins nach dem anderen.;Business English 1;;;4;06.01.14;05.02.18
613;Flaschenhals (= Engpass);bottleneck;Business English 1;;swapped;5;04.11.13;06.04.18
614;fliehen;huir     Los habidantes de la ciudad necesitan huir del ruido.;ECOS Español;;swapped;1;04.11.18;04.11.18
615;flotar;schweben;El arte de empezar;;;5;12.11.17;02.03.19
616;FOB (bis über die Reling/ in den Lastwagen);Free on board;Business English 1;;;4;04.11.13;28.01.14
617;folglich, damit;hence;Business English 1;;swapped;2;12.01.14;21.01.14
618;follow up;nachfassend;Business English 1;;swapped;5;01.12.13;19.03.16
619;fördern;promover     La ciudad de Valencia ha decidido promover el estudio de inglés entre jóvenes con 300 matrículas gratuitas para los menores de 30 años desempleados;ECOS Español;;swapped;2;06.01.18;07.11.18
620;Forderung;request;Business English 1;;;3;12.01.14;28.01.14
621;Forderungen stellen;claim / request;Business English 2;;;1;11.03.15;20.12.15
622;fortalecer;stärken;El arte de empezar;;swapped;6;21.05.17;
623;for the benefit of / in favor of;zu Gunsten von;Business English 2;;swapped;4;11.03.15;19.01.16
624;for the time being;vorläufig, zunächst/ bis auf weiteres;Business English 1;;;4;06.01.14;05.02.18
625;foul excuse;Ausrede;Business English 1;;;5;01.12.13;19.03.16
626;fracasar  El que no intenta ya fracasó;scheitern  Wer es nicht versucht hat schon verloren;El arte de empezar;;;6;21.05.17;
627;framework conditions;Rahmenbedingungen;Business English 1;;swapped;5;04.11.13;14.04.14
628;frankly speaking;offen gesagt;Business English 1;;swapped;5;04.11.13;19.03.16
629;frankly speaking;ehrlich gesagt;Business English 2;;swapped;4;11.03.15;02.04.18
630;Free on board;FOB (bis über die Reling/ in den Lastwagen);Business English 1;;swapped;4;04.11.13;26.01.14
631;Freizeit;el ocio y tiempo libre;Malaga 2018;;swapped;5;29.03.18;12.01.19
632;Frist;dead line;Business English 1;;;3;12.01.14;28.01.14
633;Fristenverlängerung;extension of time;Business English 1;;;2;12.01.14;21.01.14
634;fulfillment;Erfüllung;Business English 1;;;5;04.11.13;06.04.18
635;gastar  los gastos;ausgeben  Ausgaben;El arte de empezar;;swapped;6;21.05.17;
636;Gastgeber;anfitrión / anfitriona     la empresa anfitriona;El arte de empezar;;;6;20.01.18;
637;Gebe / teile Informationen über dich   ;De / comparta informaciones sobre ti;Malaga 2018;;swapped;5;29.03.18;07.12.18
638;gebrochen;quebrado;El arte de empezar;;swapped;6;21.05.17;
639;Gefällt dir etwas?     Nein, nichts gefällt mir.;Te gusta algo?     No, no me gusta nada. / No, nada me gusta.;Español Gramática;;;5;10.02.18;16.11.18
640;gefällt mir gut / schlecht;me cae(n) bien / mal;Malaga 2018;;swapped;5;29.03.18;12.01.19
641;gegebenenfalls;probably;Business English 1;;swapped;1;01.12.13;20.12.15
642;gegen etwas sein     für etwas sein;estar en contra de algo     estar a favor de;Malaga 2018;;swapped;5;29.03.18;23.02.19
643;gegenseitig     auch: wechselseitig;recíproco;El arte de empezar;;;6;20.01.18;
644;gegenteilig;opuesto;El arte de empezar;;swapped;6;21.05.17;
645;Gehalt;salary;Business English 2;;;1;11.03.15;11.03.15
646;Gehen Sie einige Minuten vor der Präsentation in den Raum.;Vaya a la sala unos minutos antes de la presentación.;Español Gramática;;swapped;1;04.03.18;26.11.18
647;Gehen Sie vor.;Pase por delante.;Español Gramática;;swapped;1;18.02.18;26.11.18
648;Gehirn;cerebro;El arte de empezar;;swapped;6;21.05.17;
649;Geh nicht so spät ins Bett.;No te acuestes tan tarde.;Español Gramática;;swapped;3;18.02.18;16.03.18
650;Geh nicht zur der Feier.;No vayas a la fiesta.;Español Gramática;;swapped;3;18.02.18;13.03.18
651;Geh weg!;¡Vete!;ECOS Español;;swapped;6;04.02.18;
652;geizig;tacaño;El arte de empezar;;swapped;6;21.05.17;
653;Geld verschwenden     verschwenderisch sein     Wenn Du ein Jahr nicht arbeitest, kannst du nicht verschwenderisch sein.;derrochar dinero     ser derrochador     Si no trabajas durante un año, no puedes ser derrochadora.;Malaga 2018;;swapped;2;29.03.18;05.12.18
654;gemacht von  erstellt durch;made out by;Business English 1;;;4;01.12.13;15.02.14
655;genannte Punkte;mentioned items;Business English 1;;swapped;5;04.11.13;06.04.18
656;genehmigen     verdienen;conceder     merecer     Siempre me han concedido un mérito muy superior al que merezco.;Malaga 2018;;swapped;3;18.08.18;12.12.18
657;generous;großzügig;Business English 1;;;4;04.11.13;13.02.14
658;Gerichtsstand;Place of justice / jurisdication / venue of lawsuit;Business English 2;;;2;11.03.15;23.12.15
659;geringe Vorhersagekraft haben;tener un valor predictivo muy escaso sobre algo;El arte de empezar;;swapped;6;21.05.17;
660;german law is applicable;Deutsches Recht ist anwendbar;Business English 2;;swapped;2;11.03.15;10.06.15
661;geschäftl. Termin;appointment;Business English 1;;;2;12.01.14;19.01.14
662;geschätzt von;apreciado por     Es una montaña muy apreciada por los montañistas;ECOS Español;;swapped;1;04.11.18;04.11.18
663;Gesetzgebung;legislation;Business English 2;;;1;11.03.15;20.12.15
664;gesetzliche Vorkehrungen;legal provisions;Business English 2;;;2;11.03.15;06.03.18
665;gesund und munter;sano y salvo;El arte de empezar;;swapped;6;21.05.17;
666;get in touch with;auf etw. aufmerksam werden/ jdn. kontaktieren;Business English 1;;;4;04.11.13;26.01.14
667;gewähren;to grant;Business English 1;;swapped;6;04.11.13;
668;gewähren;grant;Business English 2;;;1;11.03.15;11.03.15
669;gewähren;to grant;Business English 2;;;3;11.03.15;16.01.18
670;gewissenhaft;scrupulous;Business English 1;;swapped;1;04.11.13;20.12.15
671;Gib deine Fehler zu;Admita tus errores;Malaga 2018;;swapped;5;29.03.18;07.12.18
672;Gib mir!;Dame!;ECOS Español;;swapped;6;04.02.18;
673;Gibt es etwas zu essen?;¿Hay algo para comer?;ECOS Español;;swapped;6;04.02.18;
674;Gibt es Staffelpreise für verschiedene Artikel?;Are there staggered prices for ...;Business English 2;;;2;11.03.15;09.06.15
675;give away (gadget);Werbegeschenk;Business English 1;;swapped;4;01.12.13;15.02.14
676;gleiten;deslizarse     (...) lo fácil que es deslizarse hacia el abismo (Abgrund);ECOS Español;;swapped;3;06.01.18;14.11.18
677;Glück bringen     Meine bunten Socken bringen Glück.;traer suerte     Mis calcetines coloridos traen suerte.;Malaga 2018;;swapped;5;29.03.18;12.01.19
678;gozar de algo     Poder gozar de un colectivo de ventas con actitud es un capital impagable.;sich an etwas erfreuen;Malaga 2018;;;5;18.08.18;23.02.19
679;Gracias por su interés.;Danke für Ihr Interesse.;Español Gramática;;;3;04.03.18;06.12.18
680;Gracias por tu visita.;Danke für deinen Besuch.;ECOS Español;;;6;04.02.18;
681;grant;gewähren;Business English 2;;swapped;2;11.03.15;10.06.15
682;grant a respite;eine Nachfrist gewähren;Business English 1;;;5;04.11.13;06.04.18
683;grateful;dankbar;Business English 1;;swapped;5;01.12.13;06.04.18
684;gritar;schreien;El arte de empezar;;swapped;6;12.11.17;
685;grob fahrlässig;thoughtlessly;Business English 2;;;3;11.03.15;30.12.15
686;großzügig;generous;Business English 1;;swapped;4;04.11.13;26.01.14
687;group;Konzern;Business English 1;;swapped;5;01.12.13;06.04.18
688;guarantee  stand security;bürgen;Business English 2;;swapped;1;11.03.15;11.03.15
689;günstig;favourable;Business English 1;;swapped;4;04.11.13;28.01.14
690;Gut- & Lastschriften;credit or debit notes;Business English 1;;swapped;5;04.11.13;14.04.14
691;Gutschrift;credit note;Business English 1;;;1;12.01.14;20.12.15
692;Hab ein Geschenk, um deine guten Intentionen zu zeigen;Tenga una sorpresa para mostrar tus intenciones buenas;Malaga 2018;;;5;29.03.18;23.02.19
693;Habeis terminado el trabajo?     Sí, lo hicimos la semana pasada.;Habt ihr die Arbeit fertig gemacht?     Ja, wir haben es letzte Woche gemacht.;Español Gramática;;;4;10.02.18;30.03.18
694;Hable con ella.;Sprechen Sie mit ihr.;Español Gramática;;;2;18.02.18;29.11.18
695;Habt ihr die Arbeit fertig gemacht?     Ja, wir haben es letzte Woche gemacht.;Habeis terminado el trabajo?     Sí, lo hicimos la semana pasada.;Español Gramática;;swapped;4;10.02.18;30.03.18
696;Hace más de 500 años Colón llegó a América.;Vor mehr als 500 Jahren kam Kolumbus in Amerika an.;ECOS Español;;;6;04.02.18;
697;Hace una semana vi a Tina.;Vor einer Woche habe ich Tina gesehen.;Español Gramática;;swapped;4;10.02.18;30.03.18
698;Haftpflichtversicherung;liability insurance;Business English 2;;;1;11.03.15;06.01.18
699;Ha llamado para decirme que...;Er hat angerufen, um mir zu sagen, dass...;ECOS Español;;;6;04.02.18;
700;harte Verhandlung;tough negociating;Business English 1;;;5;01.12.13;06.04.18
701;Hasta hoy Lea no me ha llamado.;Bis heute hat Lea mich nicht angerufen.;Español Gramática;;;3;18.02.18;13.03.18
702;Hast du schon Pläne für...;Ya tienes planes para...;Malaga 2018;;swapped;5;29.03.18;12.01.19
703;hat sich als das beste Werkzeug herausgestellt, um rechte Parteien zu stoppen;se ha relevado como la mejor herramienta para frenar a los partidos de extrema derecha;El arte de empezar;;swapped;6;22.10.17;
704;Ha venido alguien?     No, nadie ha venido.;Ist jemand gekommen?     Nein, niemand ist gekommen.;Español Gramática;;swapped;4;10.02.18;30.03.18
705;hay (ind.);hubo;Malaga 2018;;;5;29.03.18;23.02.19
706;hence;folglich, damit;Business English 1;;;3;12.01.14;28.01.14
707;He probado de decirlo en una manera más elegante pero no encontré ninguna.;Ich habe versucht es eleganter auszudrücken, aber hab es nicht geschafft.;Español Gramática;;;2;04.03.18;08.03.18
708;herabwürdigen;condescent;Business English 1;;;1;04.11.13;20.12.15
709;herausfinden     auch: ermitteln;averiguar     Una buena opción para averiguar qué significa una carrera internacional.;El arte de empezar;;swapped;2;20.01.18;05.12.18
710;Herr Pérez, ich sehe Sie morgen, nicht wahr?;Señor Pérez, le veo mañana, verdad?;Español Gramática;;;5;10.02.18;24.02.19
711;high time that..;höchste Zeit, dass ...;Business English 1;;;5;01.12.13;06.04.18
712;hinsichtlich     Was sagst Du zu dem Vorfall?;acerca de     Que opinas tu acerca del incidente?;El arte de empezar;;swapped;5;21.05.17;02.03.19
713;Hinter dem Gebäude ist ein Vulkan, den man von hier nicht sehen kann.;Detrás de este edificio hay un volcán que no se puede ver de aquí.;Español Gramática;;swapped;3;18.02.18;13.03.18
714;hirviendo     El agua en la olla ya está hirviendo.;kochend  siedend;ECOS Español;;;5;18.02.18;02.02.19
715;höchste Zeit, dass ...;high time that..;Business English 1;;swapped;4;01.12.13;17.02.14
716;Hoffentlich haben wir in Zukunft weniger Hierarchie im Unternehmen!;Ojalá tuviéramos menos jerarquía en la empresa!;Español Gramática;;;2;04.03.18;08.03.18
717;Hoffentlich ist schönes Wetter.;Ojalá haga buen tiempo.;Español Gramática;;swapped;3;18.02.18;13.03.18
718;höhere Gewalt;act of good / force majeure;Business English 2;;;2;11.03.15;06.03.18
719;hold us liable;uns Haftbar/verantwortlich machen;Business English 1;;;4;06.01.14;05.02.18
720;how do you do  (+handshake);meet some one for the first time;Business English 1;;;5;04.11.13;06.04.18
721;How far / To what extend can you accommodate us concerning / with respect of price, discount, rebate, deadline and service?;Wie weit sind Sie in der Lage uns entgegen zu kommen, soweit der Preis, Rabatt, Termin und Service betroffen ist?;Business English 2;;swapped;3;11.03.15;30.12.15
722;huir     Los habidantes de la ciudad necesitan huir del ruido.;fliehen;ECOS Español;;;1;04.11.18;04.11.18
723;humilde/ modesto     la humilidad;bescheiden   Bescheidenheit;Español Gramática;;;2;04.03.18;08.03.18
724;I acknowledge receipt.;Ich bestätige den Eingang Ihres Angebotes.;Business English 2;;swapped;2;11.03.15;09.06.15
725;i agree;ich stimme zu;Business English 2;;swapped;3;11.03.15;30.12.15
726;i am delighted that;ich bin erfreut, dass;Business English 2;;swapped;3;11.03.15;17.06.15
727;I am fully behind you on that;Dabei stehe ich hinter Ihnen;Business English 2;;swapped;4;11.03.15;12.03.18
728;i can't go along with;ich kann dem nicht folgen/übereinstimmen;Business English 1;;;3;06.01.14;30.12.15
729;I can't go along with you on / that;dem kann ich mich nicht anschließen;Business English 2;;swapped;3;11.03.15;16.01.18
730;Ich bestätige den Eingang Ihres Angebotes.;I acknowledge receipt.;Business English 2;;;2;11.03.15;09.01.18
731;ich bin erfreut, dass;i am delighted that;Business English 2;;;2;11.03.15;23.12.15
732;Ich bin sicher, dass der Leser dieses Buch sehr genießen wird.;Estoy seguro de que el lector disfrutará mucho de este libro.;Malaga 2018;;swapped;4;18.08.18;25.12.18
733;Ich bin zuversichtlich, dass wir bald unseren Betrieb in Buenos Aires aufnehmen.;Confío en que iniciemos pronto nuestras operaciones en Buenos Aires.;Español Gramática;;swapped;1;04.03.18;10.03.18
734;Ich bitte ihn vorsichtiger zu sein.;Le pido que esté más cuidadoso.   ;Español Gramática;;swapped;3;18.02.18;16.03.18
735;Ich erinnere mich nicht;No recuerdo     No me acuerdo;Malaga 2018;;swapped;5;29.03.18;12.01.19
736;Ich frage sie (mehrere).;Les pregunto.;Español Gramática;;swapped;4;10.02.18;30.03.18
737;Ich freue mich, dass du dich besser fühlst.;Me alegre de que te sientas mejor.;Español Gramática;;swapped;3;18.02.18;13.03.18
738;Ich glaube nicht, dass sie mich liebt.;No creo que me quiera.     pero: Creo que me quiere. (indicativo);Español Gramática;;swapped;4;18.02.18;26.12.18
739;Ich habe gerade gegessen.;Acabo de comer.;Español Gramática;;;3;18.02.18;13.03.18
740;Ich habe kein Foto von Juan;No tengo ninguna foto de Juan.;ECOS Español;;swapped;6;04.02.18;
741;Ich habe nicht die geringste Ahnung.;No tengo la menor idea.;ECOS Español;;swapped;6;04.02.18;
742;Ich habe noch nicht ausgewählt;Aún no he escojido;Malaga 2018;;swapped;5;29.03.18;12.01.19
743;Ich habe versucht es eleganter auszudrücken, aber hab es nicht geschafft.;He probado de decirlo en una manera más elegante pero no encontré ninguna.;Español Gramática;;swapped;2;04.03.18;08.03.18
744;Ich hoffe Du findest einen anderen Freund.;Espero que encuentres otro novio.;Español Gramática;;swapped;3;18.02.18;13.03.18
745;ich kann dem nicht folgen/übereinstimmen;i can't go along with;Business English 1;;swapped;2;06.01.14;19.01.14
746;Ich kenne keinen von diesen Jungs.;No conozco a ninguno de estos chicos.;ECOS Español;;;6;04.02.18;
747;Ich komme nicht über die Runden.;No llego a fin de mes.;Malaga 2018;;swapped;5;29.03.18;12.01.19
748;Ich rate dir nach Spanien zu fahren.;Te aconsejo que vayas a España.;Español Gramática;;;3;18.02.18;16.03.18
749;Ich sage es dir, damit du es weißt.;Te lo digo para que lo sepas.;Español Gramática;;swapped;3;18.02.18;13.03.18
750;Ich schlage vor / wir schlagen vor, dass die Abteilung ihre Pläne ändert.;Sugiero / sugerimos que el departamento cambie los planes.;Español Gramática;;swapped;2;04.03.18;08.03.18
751;Ich schlage vor / wir schlagen vor eine neue Werbekampagne zu starten.;Propongo / proponemos iniciar una nueva campaña de publicidad.;Español Gramática;;;3;04.03.18;20.03.18
752;Ich schreibe ihm/ ihr.;Le escribo.;Español Gramática;;;4;10.02.18;30.03.18
753;ich stimme nicht zu;i disagree;Business English 2;;;3;11.03.15;30.12.15
754;ich stimme zu;i agree;Business English 2;;;3;11.03.15;16.01.18
755;Ich werde Ihnen kurz erklären woraus die Abschlussprüfung besteht.;Voy a explicarles brevemente en qué consiste el examen final.;Español Gramática;;;2;04.03.18;08.03.18
756;Ich werde Sie an einen Spezialisten mit mehr als 7 Jahren Erfahrung weiterleiten.;Le voy a pasar a un especialista con más de 7 años de experiencia.;Malaga 2018;;swapped;5;29.03.18;12.01.19
757;Ich würde sagen, dass wir die Kooperation fortführen.;Yo diría que continuemos la cooperación.;Español Gramática;;swapped;2;04.03.18;08.03.18
758;Ich würde vorschlagen...;Yo propondría que...;Español Gramática;;swapped;2;04.03.18;29.11.18
759;i disagree;ich stimme nicht zu;Business English 2;;swapped;3;11.03.15;30.12.15
760;If we had known that earlier...;Wenn wir das vorher gewusst hätten,...;Business English 2;;swapped;2;11.03.15;09.06.15
761;If you take over one of our staff into firm employment, we won't pay any commission fee.;Sollten Sie einen unserer Mitarbeiter in ein festes Arbeitsverhältnis übernehmen, werden wir keinerlei Vermittlungsgebühr bezahlen.;Business English 2;;swapped;2;11.03.15;10.06.15
762;ihr Konkurrent gewährt bessere Bedingungen;your competitor grants better conditions;Business English 2;;;2;11.03.15;09.01.18
763;Im Gegensatz, wenn Sie Distanz ausdrücken möchten, kleiden Sie sich seriös und formal.;En cambio, si quiere marcar distancia, vístase de manera seria y formal.     vestarse  yo me visto  tú te vistes  él se viste  nosotros nos vestimos  vosotros vos vestís  ellos se visten;Español Gramática;;swapped;2;04.03.18;08.03.18
764;im Kopf behalten;to bear sth. in mind;Business English 2;;;2;11.03.15;10.06.15
765;immerhin;after all;Business English 1;;;2;01.12.13;21.01.14
766;imprescindible;unerlässlich/ notwendig;ECOS Español;;;1;04.11.18;04.11.18
767;#NAME?;enhance;Business English 1;;swapped;2;06.01.14;19.01.14
768;im Schnitt;on average;Business English 1;;;1;01.12.13;20.12.15
769;im Voraus;de antemano;El arte de empezar;;swapped;6;21.05.17;
770;inalterado;unverändert;El arte de empezar;;;6;21.05.17;
771;inappropriate;unangebracht / unangemessen;Business English 1;;swapped;2;06.01.14;19.01.14
772;in Besitz seiner geistigen Fähigkeiten sein;estar en posesión de todas sus facultades intelectuales;ECOS Español;;swapped;2;06.01.18;07.11.18
773;in charge of;zuständig für;Business English 1;;;5;04.11.13;19.03.16
774;inconsistent quality;ungleichmäßige Qualität;Business English 2;;swapped;2;11.03.15;09.06.15
775;in der Zwischenzeit;in the meantime;Business English 1;;;4;01.12.13;17.02.14
776;in doublicated;zweifache Ausfertigung;Business English 1;;swapped;4;01.12.13;17.02.14
777;inédito;nie dagewesen;El arte de empezar;;;6;22.10.17;
778;inevitable;unvermeidlich;Business English 1;;;3;12.01.14;28.01.14
779;infidels;ungläubige;Business English 1;;;1;04.11.13;06.01.18
780;initial order;Erstbestellung;Business English 1;;;5;04.11.13;06.04.18
781;initial order;Erstauftrag;Business English 2;;swapped;3;11.03.15;16.01.18
782;inländisch;domestic;Business English 1;;swapped;4;04.11.13;27.01.14
783;inmerso     puesto que nada indica que el sistema bancario italiano estuviese inmerso en una crisis general;eingetaucht, versunken;ECOS Español;;;1;04.11.18;04.11.18
784;innerhalb 2. Wochen;within fortnight;Business English 1;;swapped;5;04.11.13;06.04.18
785;in Ordnung bringen / unterbringen;acomodar     Me pueden acomodar por una semana?;El arte de empezar;;;6;21.05.17;
786;In Präsentationen, die sie auf Spanisch halten ...;"Para las presentaciones que se hagan en Español,...     puede usar la forma ""vosotros"" para dirigirse al público.";El arte de empezar;;;5;04.03.18;02.03.19
787;inquiery;Anfrage;Business English 2;;;1;11.03.15;11.03.15
788;insist on;bestehen auf;Business English 2;;swapped;2;11.03.15;10.06.15
789;insist on sth.  (hearing from you);auf etw. bestehen  wenn Substantiv folgen kann +ing;Business English 1;;swapped;4;01.12.13;15.02.14
790;instruction;Anweisung;Business English 2;;swapped;2;11.03.15;09.06.15
791;interesarse por;sich für etwas interessieren;ECOS Español;;swapped;6;04.02.18;
792;interrumpir     La profesora la interrumpió varias veces.;unterbrechen     Die Lehrerin unterbrach sie mehrmals.;El arte de empezar;;swapped;6;12.11.17;
793;in the meantime;in der Zwischenzeit;Business English 1;;swapped;4;01.12.13;15.02.14
794;in time;rechtzeitig;Business English 1;;swapped;5;04.11.13;18.04.14
795;in Verzug setzten;put sb. in arrears;Business English 1;;;2;12.01.14;19.01.14
796;invitation to tender;Ausschreibung;Business English 1;;;3;12.01.14;16.01.18
797;invoice (bill);Rechnung;Business English 2;;swapped;4;11.03.15;02.04.18
798;invoices  bill;Rechnung betriebsw.  im Restaurant;Business English 1;;;4;04.11.13;26.01.14
799;ir a lo suyo     En Barcelona todo el mundo iba a lo suyo.;mit sich selbst beschäftigt sein;ECOS Español;;;1;04.11.18;04.11.18
800;irrevocable;unwiederruflich;Business English 1;;;5;04.11.13;06.04.18
801;Iss nicht so viel.;No comas tanto.;Español Gramática;;swapped;3;18.02.18;13.03.18
802;Ist es möglich, dass Anselm heute nachmittag Zeit für mich hat.;Es posible que Anselm tenga tiempo para mi en la tarde?;Español Gramática;;swapped;3;18.02.18;13.03.18
803;Ist jemand gekommen?     Nein, niemand ist gekommen.;Ha venido alguien?     No, nadie ha venido.;Español Gramática;;;1;10.02.18;26.11.18
804;it goes without saying that;selbstverständlich;Business English 1;;swapped;4;01.12.13;15.02.14
